Execution time : 9.228 s

MST weight is : 49683
All the edges
158 246 1
70 90 2
222 313 2
12 24 3
31 136 5
205 341 5
55 295 6
77 318 6
225 252 6
303 313 6
215 318 7
45 290 9
244 328 9
108 294 11
128 200 12
162 181 13
50 216 14
154 211 14
226 255 14
326 339 14
28 280 16
14 170 17
124 269 17
194 298 17
196 315 17
42 265 18
186 338 18
15 178 19
38 39 19
168 249 20
49 260 21
68 180 23
118 129 23
167 196 24
71 142 25
76 240 26
100 175 27
285 289 27
43 240 28
89 189 28
207 270 29
98 148 30
157 282 30
46 215 31
22 204 32
38 156 32
172 252 32
64 267 33
33 291 34
50 109 35
99 161 35
102 222 35
8 187 36
63 95 36
118 219 37
119 322 37
139 343 37
255 287 37
265 337 39
56 138 41
131 196 41
146 293 41
262 295 41
102 242 42
30 282 43
56 229 44
16 156 46
115 298 46
222 270 46
68 155 48
274 339 48
41 250 49
20 332 51
234 284 51
293 295 51
17 246 52
61 344 52
264 309 52
1 246 53
143 238 53
5 140 54
190 292 54
69 309 55
188 311 55
112 262 56
27 345 57
207 315 57
225 305 58
56 86 59
105 326 59
175 287 59
19 315 60
40 192 60
74 160 60
69 93 61
72 196 61
79 127 61
221 327 61
19 220 63
161 234 64
1 319 65
81 285 65
104 243 66
131 172 66
77 201 69
95 110 69
38 330 71
55 276 71
134 238 71
12 249 72
2 80 73
75 238 73
214 223 74
195 235 75
60 69 76
119 210 77
135 309 79
58 126 80
103 255 80
183 269 80
33 148 82
79 211 82
309 343 82
9 274 83
35 77 83
231 311 83
187 290 84
1 238 85
43 263 89
57 59 93
71 92 93
126 335 96
148 245 96
12 100 97
38 173 99
86 179 99
138 296 99
143 151 99
75 285 101
203 281 101
88 97 102
164 202 102
169 186 102
119 338 103
180 248 103
81 293 104
134 213 104
44 58 105
49 310 105
122 143 105
279 337 105
124 157 106
220 265 107
24 320 108
33 174 109
149 218 109
162 315 109
115 142 111
73 95 112
131 175 113
120 331 114
83 90 115
95 301 115
180 182 115
33 252 116
122 287 116
140 192 116
222 257 116
5 23 117
92 337 120
65 205 122
94 98 122
294 296 122
54 333 123
171 274 123
120 327 124
161 277 124
178 322 125
66 306 126
226 250 127
16 190 129
5 301 130
197 230 131
259 275 131
25 260 132
200 302 133
12 251 135
131 310 137
125 172 138
194 272 138
258 259 138
80 239 139
161 335 139
105 182 140
149 308 141
94 152 142
8 88 143
29 100 143
51 69 143
182 341 143
141 193 144
165 335 144
8 209 147
304 328 147
232 254 148
67 220 149
100 161 153
114 321 154
210 341 154
141 299 155
154 222 155
196 282 155
149 187 157
223 267 158
159 218 159
28 293 161
79 230 161
179 231 161
179 301 161
242 299 161
151 266 162
7 258 163
20 202 163
75 267 163
201 248 163
231 235 163
92 297 164
6 163 166
152 336 168
206 246 169
130 322 170
227 248 170
72 87 171
153 328 171
242 283 172
269 301 172
51 228 174
81 120 174
193 288 175
131 215 176
84 183 178
231 309 179
34 129 180
85 128 180
7 103 181
43 237 181
106 140 182
38 338 183
134 247 183
2 97 184
11 71 185
80 166 185
104 166 185
47 275 186
52 65 187
236 257 187
187 264 189
244 299 189
76 320 192
89 335 192
201 314 192
60 111 195
48 255 198
102 137 198
136 192 200
192 219 201
58 144 203
185 281 203
6 308 204
38 202 204
175 307 204
32 232 205
121 313 209
127 170 213
44 78 214
114 270 217
94 300 218
50 221 219
316 335 222
4 345 225
10 193 226
86 306 230
268 327 232
192 344 235
32 148 238
18 273 239
82 218 239
185 239 239
68 191 242
0 180 243
4 235 243
74 308 244
26 128 248
91 266 252
267 334 252
278 335 253
69 128 256
257 286 267
332 342 267
217 289 268
107 119 273
127 208 278
224 253 279
36 319 283
112 147 283
309 340 283
89 241 285
147 150 291
101 182 294
229 312 297
324 342 298
41 329 303
133 332 306
37 117 309
184 334 310
37 146 314
90 91 316
123 157 318
18 67 320
96 296 321
23 54 328
44 212 345
3 309 347
13 191 348
153 317 350
177 182 356
45 59 365
15 271 371
62 82 380
200 253 382
310 323 383
132 236 390
100 116 399
21 186 411
176 331 428
22 25 443
53 300 475
72 145 479
108 233 481
144 256 481
198 330 482
65 199 488
261 270 512
113 270 570
198 325 584
