Execution time : 20.630 s

MST weight is : 42468
All the edges
207 392 1
15 343 2
47 71 2
224 258 2
165 363 3
176 193 3
281 366 3
5 263 4
81 84 4
207 234 4
280 349 6
49 164 8
9 23 9
95 281 9
170 237 9
0 265 10
27 337 10
277 389 10
122 318 11
241 260 11
248 396 11
143 180 12
160 365 12
95 321 13
99 347 13
141 181 13
105 366 14
168 355 14
2 45 15
178 385 15
241 287 15
7 399 16
57 258 16
99 145 16
117 213 16
361 386 17
6 365 20
44 211 20
136 264 20
160 393 20
189 325 20
99 328 21
151 314 21
326 352 21
38 93 22
57 255 22
99 136 23
101 241 23
18 406 24
151 264 24
33 38 25
63 123 25
359 400 25
32 365 26
74 80 26
179 293 26
60 371 27
73 354 27
141 227 27
4 30 28
54 188 28
224 230 28
75 197 29
112 213 29
166 318 29
336 337 29
68 391 30
156 291 30
235 346 30
116 267 31
121 155 31
239 355 31
320 328 31
359 399 32
27 358 34
234 385 34
20 201 35
26 359 35
33 234 35
136 250 35
10 158 36
25 103 36
47 337 36
339 383 36
19 319 38
125 302 38
134 225 38
174 390 38
255 257 38
13 78 39
152 230 39
189 308 39
13 277 40
19 25 40
29 155 40
31 227 40
15 62 41
28 81 41
69 260 41
278 388 41
25 75 42
52 181 42
35 333 43
63 375 43
192 370 44
31 64 45
4 111 46
120 163 47
40 271 48
91 352 48
108 327 48
15 176 50
112 140 50
47 163 51
72 357 51
174 335 51
254 357 51
271 348 51
393 405 51
165 340 52
224 397 52
46 386 53
93 254 53
8 178 54
97 377 54
101 221 54
41 182 55
127 316 56
158 368 56
54 295 57
81 87 57
74 105 58
104 339 58
282 372 58
64 388 59
75 315 59
18 390 60
132 266 60
153 226 60
268 292 60
214 403 61
87 194 62
91 318 62
103 169 63
242 351 63
40 72 64
187 205 64
199 341 64
222 294 64
228 396 64
22 122 65
49 65 65
184 335 65
197 214 65
221 282 65
15 77 66
34 251 66
277 288 66
222 299 67
35 351 70
59 249 70
114 340 70
85 204 71
25 73 72
166 351 72
243 335 72
296 374 72
306 356 72
15 145 73
47 107 73
58 392 73
251 279 73
149 161 74
223 393 74
291 325 74
213 337 75
92 275 76
160 180 76
176 289 76
300 328 76
36 294 77
54 195 77
112 164 77
275 305 77
301 391 77
4 10 78
83 271 78
191 239 78
51 85 79
175 361 80
71 386 82
141 372 82
230 313 82
315 392 82
193 201 83
12 347 84
106 272 84
195 269 84
248 263 84
63 314 85
83 273 85
85 260 85
182 360 85
185 243 85
290 306 85
327 369 85
120 167 86
177 397 86
251 320 86
288 293 86
100 257 88
122 249 88
89 160 89
9 67 90
127 165 90
166 199 90
12 395 92
36 114 92
42 83 92
184 228 92
198 246 92
268 378 92
48 271 93
115 327 93
235 301 93
110 280 94
145 216 94
280 405 94
333 395 94
36 278 96
50 261 96
133 366 97
188 229 97
19 260 98
166 362 98
195 348 99
89 171 100
271 379 100
274 283 100
201 334 101
5 121 102
14 255 102
35 271 102
88 165 102
160 274 102
182 217 102
17 46 103
207 213 103
17 70 104
132 360 105
3 325 106
66 327 106
98 323 106
185 267 107
335 394 107
15 28 108
101 177 108
173 244 108
188 335 108
13 112 109
132 222 109
218 394 109
26 377 110
165 244 110
65 297 111
164 380 111
60 302 112
12 331 113
303 338 113
137 242 115
85 160 116
66 406 117
111 281 118
130 185 118
63 90 120
38 265 121
52 281 121
265 296 121
64 237 122
285 396 122
80 399 123
172 185 123
327 353 123
56 165 124
19 212 125
45 388 126
316 364 126
86 269 129
95 98 129
98 139 130
148 200 130
140 159 131
157 351 131
221 383 132
61 311 134
258 376 134
161 220 135
33 128 136
125 199 137
210 261 137
69 332 138
108 308 138
133 154 139
174 262 140
220 226 142
329 348 142
24 59 143
53 380 143
16 189 144
28 190 145
67 167 145
153 239 145
134 312 150
208 351 150
44 243 151
162 401 152
342 386 152
107 138 153
186 345 153
225 282 153
165 203 154
193 215 154
135 296 155
142 407 155
240 353 155
55 310 156
11 186 157
23 153 158
17 21 163
59 109 163
200 253 163
206 352 164
44 367 168
276 337 168
210 398 169
182 284 170
55 146 174
149 205 177
39 362 180
137 142 180
155 202 182
240 324 182
94 369 183
329 330 183
191 307 184
69 192 187
256 295 187
231 322 191
142 404 195
186 338 197
23 118 198
96 194 199
311 386 200
186 339 201
45 387 202
68 268 204
68 280 204
304 383 206
144 228 209
171 373 209
55 144 210
246 269 216
119 298 219
119 288 221
107 272 222
131 229 222
108 247 224
129 287 224
275 403 224
138 384 225
111 113 227
60 245 232
51 402 233
51 252 235
248 270 238
286 370 238
231 288 239
161 259 240
42 219 247
102 179 248
96 317 250
125 150 251
126 270 251
200 242 257
43 393 258
183 356 262
76 221 265
94 398 266
79 174 270
236 341 279
246 381 279
162 303 287
87 356 291
115 124 294
209 402 297
147 285 300
309 403 310
59 350 313
232 329 330
293 382 337
37 361 354
196 263 365
82 217 380
344 385 380
149 233 384
1 260 394
20 238 429
