Execution time : 4.282 s

MST weight is : 350790
All the edges
104 115 971
223 474 971
148 253 973
169 392 976
149 156 984
131 297 987
91 264 988
129 485 992
166 185 993
200 227 997
321 403 1005
134 308 1019
112 158 1021
365 461 1048
257 377 1050
283 508 1055
196 471 1068
136 276 1073
19 334 1075
109 247 1080
224 301 1080
439 500 1082
36 497 1083
335 343 1084
177 427 1101
80 101 1104
19 464 1108
427 510 1109
63 257 1113
145 472 1125
7 153 1134
49 447 1157
29 151 1167
172 310 1175
144 405 1177
21 230 1181
157 221 1190
24 339 1194
34 123 1194
155 373 1198
90 480 1207
9 240 1213
66 335 1236
4 448 1248
177 198 1253
296 487 1273
384 432 1291
8 505 1295
158 275 1296
127 154 1300
348 440 1314
246 467 1329
240 392 1334
107 488 1336
145 329 1337
115 419 1344
139 487 1360
372 437 1389
65 160 1390
175 182 1390
61 132 1403
297 355 1424
161 271 1427
54 190 1430
26 402 1464
33 425 1464
310 487 1465
44 378 1476
93 113 1487
426 498 1509
45 368 1534
188 463 1624
110 207 1631
50 163 1656
18 453 1663
15 254 1686
283 515 1695
44 331 1699
395 420 1729
359 494 1772
279 429 1776
74 499 1780
111 446 1787
94 156 1791
224 435 1794
44 462 1837
141 203 1843
194 315 1844
70 495 1884
57 239 1902
1 327 1938
4 332 1966
370 388 2007
43 200 2011
142 307 2056
76 171 2080
176 386 2087
61 70 2133
320 457 2134
304 354 2151
208 281 2165
266 495 2189
237 288 2200
149 507 2207
219 458 2213
51 183 2218
390 509 2234
83 303 2341
248 284 2356
68 445 2451
313 385 2518
126 432 2588
479 503 2884
96 389 4731
