Execution time : 4.282 s

MST weight is : 350790
All the edges
64 200 1
100 274 2
108 298 2
314 399 2
338 381 2
39 333 4
436 491 4
327 413 6
238 357 7
98 193 9
375 433 11
116 148 17
74 407 20
286 312 20
228 468 23
369 516 23
319 513 26
256 446 32
26 85 33
58 385 33
162 477 33
106 178 46
130 144 46
330 456 46
200 202 48
14 78 49
18 267 51
108 380 52
162 494 52
243 392 53
226 408 57
186 437 60
28 209 61
169 299 62
235 420 62
52 146 63
7 393 69
179 182 71
10 19 72
222 273 73
67 491 76
334 471 84
122 376 88
259 466 89
272 500 92
418 446 94
82 374 95
124 214 95
301 512 95
124 447 97
55 99 99
143 341 99
11 223 101
26 486 105
107 328 105
240 398 106
86 262 108
399 517 109
3 412 113
391 434 117
135 278 123
138 366 124
20 152 126
199 256 126
295 349 127
149 438 132
269 286 133
157 501 137
117 345 140
371 408 145
250 350 147
12 91 156
167 247 156
178 352 157
282 442 161
316 377 161
344 447 161
145 259 163
309 338 171
176 241 175
205 507 179
291 485 181
214 234 182
255 452 184
173 341 191
284 304 191
473 475 198
1 195 200
28 483 200
57 262 200
57 469 200
117 181 202
303 406 203
340 416 207
56 167 208
159 459 210
36 408 212
202 215 212
22 301 213
27 55 213
278 318 213
184 519 216
409 471 216
187 225 220
460 481 220
247 469 221
183 194 222
136 141 224
216 300 225
42 209 227
6 8 228
290 292 230
76 134 235
137 236 242
245 453 242
408 474 242
179 279 243
5 98 245
16 77 246
207 262 248
257 485 248
106 140 250
27 269 253
90 463 254
220 229 254
469 496 254
381 460 257
125 272 259
333 364 259
269 390 261
27 283 262
63 393 262
113 411 262
231 498 262
231 520 262
31 251 268
290 396 269
60 139 270
99 161 270
0 399 272
32 232 273
105 181 274
101 450 276
320 516 276
39 116 278
430 454 281
4 77 282
250 337 282
23 232 285
53 142 285
157 454 286
336 446 291
78 267 294
206 428 294
28 259 296
152 249 296
345 514 299
232 303 302
181 391 308
261 441 316
58 226 317
134 503 326
302 428 326
431 498 328
2 403 331
335 477 331
258 367 335
482 514 337
279 282 338
422 474 339
253 323 343
92 277 348
346 468 348
331 358 352
95 133 354
14 230 355
193 294 355
15 102 360
305 406 360
12 361 362
124 318 363
35 99 367
292 382 368
263 394 369
230 279 373
12 191 381
184 292 382
33 317 384
189 311 384
193 232 385
74 450 387
267 366 388
444 490 388
423 493 389
37 76 393
92 483 393
146 263 396
149 482 396
45 149 398
209 348 398
241 396 401
42 191 403
122 164 404
147 148 404
89 318 405
17 169 414
53 64 414
82 363 419
159 291 423
208 436 424
452 505 429
65 452 437
114 216 439
190 518 439
119 376 440
280 309 442
342 408 444
322 383 446
181 204 450
348 504 452
14 436 453
127 180 455
233 416 455
11 444 456
261 432 459
371 478 461
24 475 462
478 492 464
127 443 465
142 162 468
159 290 479
13 97 480
151 243 480
211 268 480
141 218 484
97 388 485
119 127 487
143 365 488
129 330 489
408 470 491
184 493 492
147 213 493
216 416 493
356 400 494
210 244 496
319 518 503
268 341 506
165 335 509
265 416 512
53 410 513
45 56 515
387 423 515
105 284 516
337 451 518
78 186 522
127 506 522
172 266 522
31 180 524
58 424 530
103 257 530
201 232 536
25 458 540
186 299 541
116 230 542
87 176 549
64 324 550
166 465 550
283 402 550
0 23 556
165 268 567
69 492 571
106 387 571
118 158 573
338 351 575
20 193 578
4 87 579
88 438 581
105 267 583
45 374 584
212 216 585
167 381 589
81 443 591
217 289 593
146 170 595
353 511 596
30 412 599
251 458 599
34 177 600
16 73 604
25 212 605
278 295 605
57 95 608
81 412 611
216 436 621
278 396 621
355 431 621
92 347 622
41 209 624
12 135 634
68 84 641
256 373 641
182 414 646
33 280 647
165 484 649
409 428 649
164 318 650
202 430 653
32 388 654
490 502 657
2 220 659
71 449 660
166 494 660
96 314 662
284 501 662
2 379 663
146 270 664
235 505 666
350 476 675
114 121 683
100 264 684
84 108 685
407 485 685
139 511 686
152 407 686
2 263 688
375 397 694
251 306 695
214 489 699
75 226 703
376 415 704
79 122 706
45 113 707
52 140 714
362 478 715
62 496 719
22 438 723
286 293 723
443 452 726
144 334 736
192 207 736
234 242 737
104 122 738
120 173 748
130 439 749
81 367 750
181 358 751
287 294 755
129 158 759
40 105 760
5 38 766
91 432 768
228 503 771
27 469 779
150 330 783
47 201 784
74 404 784
295 439 785
46 159 787
119 325 787
152 311 788
232 417 788
252 509 789
260 298 792
421 432 793
294 521 795
131 342 796
442 476 801
396 475 804
190 272 805
17 210 814
295 401 814
263 522 815
72 279 816
243 400 816
108 374 822
168 452 825
128 224 827
81 463 828
273 320 832
446 477 832
59 443 833
58 289 844
273 360 854
69 176 855
174 212 863
442 516 867
1 383 878
140 198 880
71 323 885
246 364 885
187 375 887
166 357 900
364 383 902
37 193 908
55 225 910
74 107 913
60 514 916
105 237 917
102 116 935
48 293 938
116 163 942
326 373 943
197 491 944
455 522 944
218 357 945
137 516 948
194 236 963
168 285 967
