Execution time : 5.488 s

MST weight is : 214645
All the edges
234 354 2
107 296 3
8 433 5
30 369 5
250 266 7
317 354 8
105 468 9
65 198 11
249 466 13
120 144 15
285 397 15
46 208 19
1 279 21
32 140 21
52 156 21
174 490 25
289 448 26
218 287 27
159 204 28
37 369 31
101 222 32
127 232 32
9 134 33
14 428 44
337 389 44
142 355 46
158 364 47
227 490 48
4 61 49
81 270 50
142 378 50
272 405 51
210 235 55
278 315 57
137 459 58
160 251 60
122 282 61
222 371 64
467 487 64
22 31 65
11 342 68
284 469 69
174 370 70
297 461 71
349 374 72
55 481 74
433 458 75
37 249 76
151 457 76
197 260 80
5 287 81
210 372 82
101 150 83
279 438 83
63 421 85
155 322 85
185 344 86
75 160 89
81 149 90
27 250 93
102 164 93
53 374 96
230 323 98
113 156 99
98 441 101
100 175 102
137 486 102
196 204 105
82 172 108
127 408 108
167 299 108
69 390 111
61 254 112
125 347 112
171 415 113
335 416 116
145 478 117
76 193 118
133 193 118
175 191 118
1 356 119
116 150 120
116 324 122
269 446 123
297 299 124
50 182 127
108 171 127
66 391 128
270 309 128
356 359 130
397 434 130
39 483 132
134 145 134
39 444 135
130 274 136
116 364 140
194 479 140
268 309 141
311 483 142
289 446 144
266 479 145
291 303 146
199 300 149
113 359 151
42 443 152
305 434 152
281 429 154
228 387 156
219 420 157
136 180 158
80 134 160
156 392 160
201 378 161
108 418 162
300 443 162
66 207 163
92 346 164
378 484 164
258 459 165
132 446 167
153 171 167
230 293 167
43 188 168
187 353 168
219 430 168
13 212 173
279 309 173
110 389 177
139 175 178
36 192 183
13 22 184
303 458 185
278 340 188
139 362 191
235 276 194
369 490 197
259 398 199
106 211 204
64 481 205
136 205 207
0 357 209
38 241 209
100 151 209
13 416 210
120 210 212
377 405 214
98 203 215
202 234 215
209 450 215
250 382 216
375 387 216
76 338 219
94 236 220
290 323 221
299 302 222
264 325 224
453 488 226
79 183 228
51 159 230
155 229 231
312 384 231
22 135 233
279 353 237
171 413 239
113 233 240
345 449 242
133 192 243
333 359 243
419 442 243
120 329 244
309 330 245
2 397 247
176 257 247
267 381 248
37 485 256
102 241 259
8 360 261
22 172 265
116 375 265
130 328 267
188 444 267
17 244 273
69 387 274
302 324 276
350 367 276
80 400 277
39 191 279
113 289 279
43 427 280
221 446 280
43 447 281
32 412 283
78 138 283
121 134 283
78 480 284
8 472 285
27 116 285
154 261 285
258 491 287
265 452 287
225 272 288
225 282 288
104 475 289
307 386 289
282 310 291
121 359 292
254 278 293
186 432 295
31 125 296
204 427 298
101 391 301
327 463 302
66 397 303
325 448 306
34 176 307
52 310 309
9 358 311
134 199 312
154 218 313
402 456 314
189 282 317
38 423 318
149 423 318
56 459 322
82 238 322
146 288 322
227 333 323
457 482 324
126 492 326
242 373 326
172 378 331
151 391 332
86 332 336
35 428 338
300 317 344
295 344 346
67 121 348
115 456 348
162 203 350
364 394 352
2 125 354
72 444 354
352 454 356
150 356 357
178 487 359
60 134 360
11 168 362
231 410 362
64 142 363
175 336 363
267 314 370
189 415 371
20 94 372
80 105 373
18 103 374
255 431 381
101 205 389
70 129 391
94 328 393
91 266 396
81 94 400
332 473 400
170 373 401
469 480 401
129 441 402
263 389 403
84 215 407
223 295 408
291 453 408
297 425 408
113 179 409
97 370 410
133 138 414
63 272 417
149 442 417
180 240 418
6 137 421
69 411 423
96 272 425
139 254 426
350 382 426
133 321 427
263 269 427
385 400 430
29 226 432
103 199 432
8 166 433
57 200 433
168 312 435
470 490 435
102 169 437
123 184 437
190 198 439
47 360 443
352 366 450
263 381 453
341 351 454
18 374 456
323 325 458
306 402 459
178 414 460
192 488 461
123 425 462
114 390 464
193 418 465
194 404 468
198 486 468
233 304 468
65 490 470
3 81 471
28 359 471
62 458 471
39 126 474
104 199 474
258 430 474
355 436 474
15 94 480
41 263 480
85 113 490
216 287 493
86 310 496
173 304 496
172 429 498
312 480 501
288 296 502
38 112 504
58 75 504
9 226 505
176 447 505
123 127 506
285 319 507
135 380 509
19 78 512
388 418 513
242 361 514
170 190 516
147 404 520
9 12 530
308 482 531
201 245 533
81 386 534
143 299 534
11 253 539
98 154 539
112 251 539
211 364 539
70 481 541
210 451 545
54 443 547
235 369 548
410 435 548
60 393 550
132 177 550
157 308 552
57 269 559
329 460 559
158 288 568
17 368 569
0 338 570
336 417 570
133 301 575
69 186 576
217 336 578
163 348 581
88 310 584
223 433 587
25 314 589
316 348 597
300 455 598
10 129 600
181 234 601
49 217 602
437 467 603
33 160 609
379 463 609
247 443 610
109 434 613
183 402 614
205 294 614
92 282 617
367 454 618
32 152 622
45 54 625
259 399 627
206 225 628
188 214 632
246 464 632
146 431 634
248 274 637
65 152 638
163 174 643
362 399 644
119 272 646
157 283 652
229 372 653
147 376 658
131 439 659
115 289 669
222 465 669
23 284 671
79 298 676
343 416 677
184 345 678
73 284 681
119 209 681
99 465 684
81 428 687
85 489 695
163 426 696
128 300 699
183 379 703
53 141 705
464 484 706
165 193 707
111 343 709
21 289 710
148 191 713
17 462 720
455 476 722
83 155 724
28 471 728
277 437 728
47 439 739
347 452 740
7 106 743
118 478 747
68 91 750
213 271 751
48 419 759
167 197 762
280 438 764
197 320 778
17 491 782
292 359 797
332 365 797
26 212 802
215 281 802
188 407 803
161 404 825
237 289 826
159 341 828
74 440 829
48 334 837
178 340 839
163 410 844
18 89 851
95 215 864
285 395 865
24 85 868
252 357 876
256 379 909
275 393 920
426 440 956
49 50 997
7 424 1000
313 437 1002
93 251 1022
403 459 1023
262 363 1041
396 490 1043
44 489 1044
188 271 1047
190 401 1050
113 220 1052
262 280 1058
238 339 1063
286 382 1078
70 445 1093
81 422 1117
41 239 1157
219 318 1168
151 195 1185
284 409 1194
423 477 1207
326 343 1217
66 243 1221
46 156 1236
68 383 1348
64 71 1392
16 265 1441
124 394 1454
12 90 1490
59 326 1666
20 77 1673
87 135 1681
117 356 1718
273 338 1753
127 224 1775
331 428 1893
392 474 2087
94 406 2166
40 131 2172
