Execution time : 39.695 s

MST weight is : 32283
All the edges
95 321 1
181 407 1
286 414 1
23 319 3
67 289 3
135 176 4
199 277 4
55 247 5
93 402 5
104 184 5
138 369 5
145 349 5
2 422 6
27 427 6
43 206 6
84 257 6
210 321 6
2 194 7
65 325 7
78 191 7
105 427 7
239 301 7
309 328 7
49 291 8
177 306 8
20 74 9
89 297 9
92 195 9
182 379 9
386 410 9
93 334 10
159 369 10
197 362 10
305 331 10
44 347 11
55 313 11
118 160 11
174 293 11
211 375 11
274 297 11
2 238 12
21 249 12
49 68 12
85 137 12
186 339 12
81 408 13
94 185 13
156 385 13
199 369 13
5 340 14
164 278 14
319 392 14
10 173 16
47 401 16
115 264 16
208 305 16
56 68 17
94 368 17
157 227 17
22 353 18
79 145 18
101 309 18
166 281 18
252 359 18
396 402 18
105 165 19
129 153 19
241 402 19
67 410 20
198 207 20
222 421 20
4 322 21
146 302 21
35 273 22
46 405 22
63 264 22
83 103 22
131 230 22
151 436 22
182 257 22
228 271 22
315 354 22
49 143 23
176 379 23
189 280 23
174 386 24
295 342 24
295 398 24
117 260 25
296 424 25
385 417 25
29 197 26
35 244 26
162 423 26
293 395 26
183 436 27
207 356 27
233 360 27
312 351 27
312 411 27
55 353 28
184 372 28
221 409 28
306 433 28
100 307 29
189 360 29
348 426 29
32 367 30
247 308 30
12 273 31
56 139 31
86 306 31
87 410 31
147 256 31
254 281 31
332 355 31
336 370 31
37 146 32
84 426 32
13 131 33
162 411 33
200 433 33
10 422 34
42 183 34
143 169 34
61 153 35
172 319 35
34 298 36
69 421 36
237 271 37
270 309 37
336 394 37
343 409 37
405 420 37
412 419 37
8 98 38
23 115 38
24 134 38
83 353 38
221 382 38
286 416 39
57 100 40
143 430 40
192 267 40
236 424 40
268 402 40
340 376 40
103 153 41
227 268 41
5 298 42
7 141 42
22 309 43
38 291 43
112 368 43
264 375 43
49 194 44
75 244 44
118 440 44
223 390 44
242 430 44
341 363 44
3 238 45
14 88 45
303 337 45
308 357 45
0 266 46
59 361 46
11 170 47
20 45 47
175 305 48
239 295 48
27 395 49
90 343 49
134 330 49
183 286 49
211 232 49
215 396 49
279 288 49
328 426 49
22 106 50
40 190 50
101 259 50
118 340 50
119 435 50
42 427 51
84 347 51
95 397 51
71 132 52
102 247 52
279 315 52
345 413 52
40 174 53
78 190 53
160 331 53
322 366 53
81 345 54
175 183 54
180 346 54
196 352 54
13 50 55
19 338 55
113 294 55
211 423 55
98 343 56
191 269 56
66 104 57
72 155 57
106 166 57
116 423 57
252 366 57
261 309 57
279 310 57
38 262 58
47 74 58
62 173 58
63 97 58
124 292 58
4 62 59
38 395 59
58 382 59
216 297 59
236 248 59
366 404 59
47 184 60
247 397 60
248 308 60
342 377 60
401 423 60
39 236 61
120 343 61
199 413 61
220 360 61
244 371 61
316 369 61
355 377 61
142 379 62
181 308 62
182 207 62
316 405 62
38 385 63
100 284 63
280 437 63
120 424 64
224 278 64
270 361 64
41 55 65
52 279 65
72 425 65
187 397 65
189 340 65
40 41 66
79 141 66
81 102 66
84 344 66
283 379 66
355 373 66
205 399 67
351 369 67
212 393 68
19 302 69
100 376 69
11 75 70
14 274 70
58 231 70
239 428 70
361 438 70
101 112 71
221 226 71
224 297 72
93 220 73
119 412 73
7 203 74
14 437 74
28 164 74
31 252 74
76 401 74
96 146 74
119 273 74
35 365 76
271 361 76
40 193 77
49 399 77
95 253 77
254 302 77
69 108 78
268 435 78
72 422 79
82 354 79
85 382 79
32 304 80
78 212 80
219 388 80
252 388 80
272 288 80
24 34 81
200 257 81
62 154 82
79 427 82
90 125 82
113 197 82
121 144 82
342 433 83
36 244 84
90 272 84
33 145 85
181 431 86
192 229 86
218 293 86
50 343 87
130 280 87
256 327 87
308 358 87
30 109 88
338 394 88
140 153 89
163 433 89
99 419 90
117 166 90
174 391 90
196 286 91
117 387 93
1 22 94
64 263 94
32 39 95
54 380 95
127 383 95
429 437 95
110 363 96
82 287 97
329 398 97
33 51 98
91 192 98
124 301 98
282 376 98
13 363 99
40 263 99
189 294 99
230 383 100
241 406 101
35 111 102
97 389 102
360 421 102
281 303 104
338 432 104
30 60 106
403 421 106
25 126 109
38 80 110
48 315 110
92 432 110
217 309 110
237 240 111
126 439 112
161 402 112
243 291 112
20 71 114
317 414 114
111 249 115
136 200 115
148 309 115
144 150 116
91 103 117
346 360 117
54 411 118
31 439 120
74 300 122
15 182 128
302 390 130
123 297 131
48 149 133
90 350 133
256 399 133
241 323 134
63 246 135
58 339 136
104 171 136
168 371 136
158 309 137
251 318 138
325 418 139
76 265 141
275 389 141
318 349 141
6 377 144
285 396 144
109 275 146
250 398 147
11 53 148
30 133 152
43 191 154
77 416 154
0 249 155
121 230 155
104 314 156
55 255 158
122 396 158
313 324 159
167 177 160
113 434 162
63 73 164
324 374 165
103 325 167
23 70 169
276 279 170
51 107 171
167 204 171
152 328 175
189 335 175
116 258 176
143 381 176
111 179 177
136 415 182
311 406 182
114 423 185
147 234 187
259 299 189
66 384 195
128 439 197
206 245 200
294 326 200
213 429 201
18 384 206
16 440 207
18 378 208
17 225 214
189 201 216
235 419 219
209 400 223
192 290 224
320 363 225
26 103 234
178 376 234
80 364 236
209 349 236
62 188 237
187 202 259
9 254 299
17 232 304
153 333 321
214 289 335
