Execution time : 21.339 s

MST weight is : 57941
All the edges
65 448 1
64 332 2
112 149 4
86 355 6
220 313 6
252 317 6
20 244 7
47 147 7
52 155 7
286 442 7
41 392 8
239 449 8
241 422 8
244 424 8
30 100 9
223 291 9
290 366 9
31 327 10
87 427 10
249 456 10
130 229 11
21 188 12
154 373 13
3 36 14
33 374 14
190 231 14
196 384 14
178 289 15
390 420 15
212 425 16
239 457 17
99 199 18
153 272 18
166 241 18
319 327 18
12 387 19
54 186 19
67 335 19
153 239 19
196 206 20
34 439 21
122 189 21
250 392 21
36 121 22
38 366 22
457 459 22
227 345 23
363 375 24
40 143 25
130 148 25
325 451 25
93 397 26
210 378 26
8 430 27
135 435 27
318 407 27
437 449 27
275 438 28
11 309 29
44 436 29
50 413 29
114 162 29
241 297 29
30 373 30
157 415 30
117 391 31
127 211 31
133 378 31
105 403 33
100 410 34
123 406 34
255 408 34
56 329 35
19 195 36
28 328 36
92 243 36
133 283 36
215 296 36
383 402 36
99 347 37
6 121 38
383 404 38
107 419 39
145 315 39
222 384 39
283 328 39
3 313 40
48 462 40
75 95 40
125 229 40
155 308 40
13 184 41
119 427 41
245 414 41
26 58 42
93 455 42
122 367 42
282 462 42
418 433 42
16 425 43
158 396 43
273 434 43
24 229 44
112 162 44
194 257 44
212 381 45
4 407 46
120 126 46
38 109 47
128 154 47
163 411 47
227 250 47
201 433 48
209 332 48
343 371 49
93 276 50
140 424 50
229 258 50
216 314 51
43 458 52
198 464 52
296 311 52
66 334 53
312 361 53
136 418 54
200 373 54
108 302 55
190 202 55
190 260 56
252 364 56
62 238 57
16 249 58
203 232 58
324 360 58
70 315 59
91 124 59
384 422 59
162 217 60
8 170 61
133 254 61
367 429 61
130 394 62
22 408 63
243 390 63
39 404 64
98 327 64
212 330 64
127 183 65
169 337 65
379 380 66
112 298 67
183 299 67
236 352 67
101 383 68
139 461 68
37 104 69
37 424 69
276 332 69
310 465 69
8 54 71
91 198 71
7 415 72
215 387 72
6 222 73
65 311 73
123 421 73
21 362 74
36 453 74
128 400 75
275 392 75
294 296 75
297 444 75
32 435 76
61 383 76
267 405 76
110 349 77
218 245 77
16 387 78
28 86 78
104 332 78
51 377 80
71 196 80
141 159 80
349 405 80
30 50 81
54 69 81
76 377 81
213 274 81
351 365 81
394 396 81
0 416 82
113 312 82
174 271 83
176 338 83
27 80 84
299 368 84
48 377 85
371 431 85
32 103 86
36 153 86
169 223 86
379 459 86
27 443 87
77 307 88
233 404 88
25 91 89
91 324 89
123 299 89
133 425 90
290 347 90
81 97 91
54 219 92
210 337 92
252 396 92
264 456 92
2 392 93
30 418 93
185 456 93
94 204 94
200 251 94
46 364 95
49 434 95
56 104 95
101 255 95
145 247 95
147 166 95
251 337 96
228 294 97
309 359 97
33 238 98
122 140 98
5 355 99
210 357 99
7 92 100
51 330 100
173 421 100
8 314 101
349 440 101
164 193 102
121 135 103
42 56 104
67 356 104
73 345 104
123 335 104
177 264 105
240 296 105
128 236 106
184 271 106
279 323 106
381 384 106
62 267 107
173 255 107
329 346 107
62 146 109
282 332 109
309 380 109
409 442 109
382 448 110
45 180 111
95 245 112
80 418 113
100 175 113
310 384 114
11 268 115
170 369 115
399 426 115
98 138 116
380 408 116
247 397 117
93 231 119
278 440 119
321 390 119
121 427 120
270 359 120
79 363 121
218 369 121
116 217 122
45 464 123
52 378 123
119 389 123
205 433 124
89 108 126
187 282 126
107 251 128
126 344 129
151 311 130
93 324 131
215 304 131
333 459 132
48 391 133
97 370 133
130 466 133
191 316 133
253 368 133
293 327 134
9 68 135
79 127 137
162 341 137
218 291 138
324 393 138
42 158 139
189 243 139
46 431 140
116 177 141
231 353 141
336 413 141
241 334 142
280 322 142
