Execution time : 21.339 s

MST weight is : 57941
All the edges
172 215 144
377 385 144
102 179 145
246 272 145
182 457 146
109 354 147
190 338 147
157 179 148
91 280 149
312 369 150
67 84 151
344 454 151
171 330 152
66 347 153
104 146 153
105 386 153
295 344 153
72 223 154
103 436 154
192 377 155
101 340 156
112 458 156
133 293 156
31 74 157
345 410 158
27 214 160
232 400 160
23 241 161
359 460 163
7 165 164
78 434 165
267 362 165
68 348 166
22 96 167
77 245 167
163 408 167
15 388 168
28 259 168
74 225 168
248 414 168
19 375 169
58 241 169
36 388 170
8 60 171
21 193 171
259 403 171
395 455 171
21 350 172
18 323 173
143 421 173
87 273 174
202 302 174
4 116 175
14 421 175
10 187 176
80 365 177
126 288 178
255 401 179
195 271 180
45 194 181
55 363 181
132 381 181
62 416 182
199 263 182
99 156 183
17 301 184
42 426 185
111 141 190
136 235 190
131 419 191
202 339 191
287 322 192
49 452 193
181 441 194
369 461 194
57 386 195
190 454 198
228 370 198
237 441 198
266 433 198
221 457 201
339 376 201
209 423 204
23 181 206
34 347 207
140 320 207
44 224 212
208 328 213
95 191 214
142 256 214
261 307 214
152 298 215
27 63 217
76 115 217
197 260 218
25 445 219
301 371 222
54 446 223
82 85 223
244 269 223
44 274 226
94 388 227
118 145 230
174 412 230
149 168 233
59 427 237
255 372 242
166 358 243
111 138 248
405 463 253
90 319 257
106 373 258
289 389 261
137 268 265
43 226 266
99 432 266
265 336 267
234 317 268
286 455 270
4 450 274
63 129 280
325 447 280
15 279 281
142 344 283
221 348 284
47 167 287
262 451 289
209 306 293
277 333 303
165 262 314
417 436 321
85 382 322
150 313 323
88 382 325
83 86 327
112 281 328
161 195 328
114 326 332
134 263 336
12 207 338
35 349 338
276 398 345
53 186 376
303 346 387
20 300 388
242 368 394
160 302 403
144 375 414
29 272 423
208 292 443
385 428 459
285 437 465
342 462 480
284 318 484
331 408 500
230 401 508
1 33 564
2 305 564
