Execution time : 21.208 s

MST weight is : 29259
All the edges
11 321 1
49 79 1
146 196 1
257 289 1
326 358 1
5 209 2
12 200 2
12 226 2
39 258 2
51 294 2
257 314 2
263 376 2
31 214 3
157 344 3
65 119 4
190 342 4
24 203 5
31 160 5
51 280 5
134 285 5
340 373 5
67 151 6
90 207 6
106 341 6
356 373 7
7 122 8
19 210 8
35 310 8
65 259 8
274 295 8
276 331 8
241 357 9
23 246 10
166 271 10
201 285 10
202 214 10
15 370 11
284 375 11
308 323 11
19 327 12
32 190 12
204 345 12
24 123 13
102 269 13
183 347 13
316 359 13
5 279 14
110 296 14
166 310 14
70 240 15
181 367 15
77 342 16
146 192 16
18 174 17
33 74 17
126 286 17
202 352 17
82 264 18
103 330 18
110 153 18
157 305 19
238 361 19
24 282 20
37 88 20
39 254 20
150 312 20
159 228 20
58 272 21
59 290 22
182 309 22
244 324 22
5 105 23
41 148 23
76 273 23
119 301 23
27 172 24
132 241 24
188 237 24
57 201 25
244 353 25
20 25 26
126 206 26
237 302 26
285 330 26
109 112 27
130 161 27
220 276 27
96 270 28
117 316 28
242 285 28
56 243 29
190 245 29
167 210 30
211 293 30
17 85 31
97 206 31
105 234 31
259 299 31
26 324 32
49 290 32
58 128 32
82 291 32
100 194 32
166 322 32
12 308 33
83 194 33
124 350 33
156 213 33
116 306 34
56 152 35
183 357 35
131 188 36
214 361 36
240 277 36
131 248 37
310 373 37
8 48 38
121 353 38
166 332 38
169 293 38
11 189 39
33 92 39
204 261 39
213 265 39
27 199 40
132 187 40
209 340 40
10 368 41
127 315 41
141 373 41
175 182 41
233 322 41
43 143 42
48 295 42
55 132 42
238 331 42
46 53 43
304 338 43
98 167 44
138 364 44
250 315 45
100 357 46
155 280 46
38 104 47
207 309 47
247 314 47
91 335 48
102 341 48
169 223 49
298 376 49
4 47 50
29 308 50
187 230 50
26 63 51
134 289 51
179 189 51
253 324 51
45 142 52
137 317 52
34 116 53
68 180 53
48 189 54
109 141 54
113 125 54
125 282 54
273 280 54
63 75 55
81 119 55
325 334 55
90 171 56
96 326 56
112 180 56
238 353 56
23 150 57
49 246 57
134 202 57
155 213 57
51 228 58
55 89 58
245 268 58
273 287 58
66 193 59
67 194 59
166 172 59
233 283 59
139 201 60
184 378 60
185 337 60
205 376 60
59 216 61
156 296 61
173 310 61
262 284 61
269 364 61
114 210 63
27 87 64
137 378 64
146 375 64
195 290 64
142 182 65
156 236 65
115 330 66
121 209 66
3 164 67
84 97 67
244 346 67
152 360 68
291 378 68
12 135 69
127 374 69
69 220 70
89 141 72
216 244 72
216 300 72
19 238 73
76 307 73
211 333 73
274 287 73
25 33 74
72 272 74
148 270 74
76 310 75
124 278 75
135 154 75
92 210 76
119 297 76
180 229 76
138 322 77
206 257 77
24 290 78
177 255 78
64 187 79
157 253 79
190 321 79
51 119 80
0 79 81
60 90 82
90 342 82
101 112 82
164 217 82
242 277 82
297 358 83
97 237 84
72 200 85
95 372 85
18 54 86
41 127 86
113 370 86
142 343 87
77 185 88
101 116 88
174 294 88
222 278 88
57 371 90
89 333 90
158 328 90
79 231 91
118 204 91
86 277 92
145 301 92
327 345 92
341 349 92
80 322 93
151 152 93
93 332 94
40 292 95
122 260 95
196 232 95
206 222 96
265 288 97
121 249 98
179 329 98
16 160 99
29 278 99
79 120 100
90 94 101
73 257 103
143 164 103
261 284 105
43 137 107
61 210 107
42 255 108
91 309 108
214 219 110
323 376 111
162 182 112
53 104 113
95 118 113
46 238 114
14 242 115
22 233 115
215 344 115
321 351 115
47 150 116
42 317 118
102 316 118
107 143 118
101 365 119
353 354 119
14 255 120
40 160 123
88 152 123
155 338 123
92 108 125
1 54 126
52 187 127
151 170 127
7 134 130
212 323 132
116 197 133
84 168 134
191 305 134
163 184 135
169 311 135
205 267 135
36 326 136
118 161 138
149 212 139
189 334 139
36 252 140
144 283 140
165 318 144
180 336 146
334 339 146
20 85 147
6 167 150
224 348 150
181 280 151
235 306 151
330 369 151
66 90 152
280 313 152
289 319 156
138 303 158
230 355 158
10 51 160
136 253 160
204 239 160
178 257 161
198 215 163
212 218 163
147 295 165
221 365 165
111 281 171
254 295 171
58 366 172
78 282 172
89 225 172
62 135 174
71 294 177
266 338 177
111 365 178
9 114 180
127 348 180
13 364 181
140 289 183
176 352 184
99 276 185
227 266 186
186 255 187
50 308 190
158 252 198
38 251 200
44 204 200
275 325 210
129 362 214
1 320 230
30 54 233
150 318 248
88 256 252
173 208 260
362 376 281
133 214 286
28 169 296
2 13 299
21 266 306
35 363 321
192 377 488
